Offer from,Category,Show offers with VIN number,Has registration number,Vehicle brand,Vehicle model,Version,Generation,Year of production,Mileage,Engine capacity,Fuel type,Power,Gearbox,Range,Drive,Battery capacity,Battery ownership type,CO2 emissions,Particulate filter,City fuel consumption,Body type,Number of doors,Number of seats,Color,Metallic,Color type,Right-hand drive (Anglik),Country of origin,Leasing,VAT margin,VAT invoice,Manufacturer warranty period,Financing possibility,First registration,Registered in Poland,First owner,Accident-free,Serviced at authorized service center,Condition,ABS,Apple CarPlay,Android Auto,Rear side airbags,Driver side airbag,CD,Central locking,Electric front windows,Electrically adjustable passenger seat,Electrically adjustable mirrors,Immobilizer,Driver airbag,Passenger airbag,Factory radio,Power steering,Alarm,Alloy wheels,ASR (traction control),Rear cross-traffic alert,Parking assistant,City emergency braking assistant,Brake Assist,Active lane change assistant,Traffic jam assistant,Active speed limit recognition,Blind spot assistant (sensor),Adaptive headlights,Intersection collision prevention assistant,Lane keeping assistant,Automatic descent control,Front side airbags,Digital key,Rain sensor,Blind spot sensor,Dusk sensor,Front parking sensors,Rear parking sensors,Panoramic roof,Electrically operated roof,Internet access,Dynamic cornering lights,Gear shift lever finished in leather,Touchscreen,Electrochromic side mirrors,Electrochromic rearview mirror,Electric rear windows,Electrically adjustable seats,Electric parking brake,Electronic brake force distribution system,Electronic tire pressure control,Electronic suspension adjustment,Electrically adjustable driver's seat,ESP,Alloy wheels from 21 inches,Alloy wheels 19 inches,Ventilated front seats,Front seats with massage function,Fast charging function,AUX socket,SD card socket,USB socket,Tow hitch,Ceramic composite brakes,HUD (Head-Up Display),Bluetooth interface,Isofix,Charging cable,360 panoramic camera,Reversing camera,Rear parking camera,Side mirror camera,Steering wheel audio controls,Leather steering wheel,Multifunction steering wheel,Sports steering wheel,Heated steering wheel,Automatic air conditioning,Four-zone air conditioning,Automatic air conditioning: 3-zone,Dual-zone air conditioning,"Automatic air conditioning, dual-zone",Automatic air conditioning: 4 or more zones,Manual air conditioning,Rear passenger air conditioning,On-board computer,Traction control,Distance control from the preceding vehicle,Rear distance control (parking),Front distance control (parking),Front air curtains,Rear air curtains,Keyless Go,Keyless entry,Lane assist - lane change control,LED taillights,LED headlights,Bi-xenon headlights,Xenon headlights,Cornering lights,Fog lights,LED fog lights,Electrically adjustable side mirrors,Electrically folding side mirrors,Wireless device charging,Gear shift paddles,MP3,GPS navigation,Independent parking system,DVD player,Speed limiter,Auxiliary heating,Heated rear seats,Runflat tires,Summer tires,All-season tires,Home lighting feature,LED interior lighting,Adaptive lighting,Park Assistant - parking assistant,Heated front windshield,Heated side mirrors,Heated front seats,Heated rear seats.1,Front armrests,Rear armrests,Knee airbag,Front side airbags.1,Rear side airbags.1,Central airbag,Driver's knee airbag,Passenger's knee airbag,Rear seat belt airbags,Heated passenger seat,Tinted windows,Tinted rear windows,Non-factory radio,Radio,Adjustable suspension,Electric lumbar support adjustment - driver,Electric lumbar support adjustment - passenger,Roof rails,Manually retractable side window blinds,Memory seat,Sports seats - front,Headlight washers,Voice-controlled vehicle functions,Collision mitigation system,Brake assist system,Collision warning system,Route break recommendation system,Accident notification system,Start/Stop system,Satellite navigation system,Energy recovery system,Sound system,Emergency braking system for pedestrian protection,Traffic sign recognition system,Sunroof,Electric sliding and tilting glass sunroof,Daytime running lights,LED lights,LED daytime running lights,Fog lights.1,Xenon lights,Leather upholstery,Alcantara upholstery,Velour upholstery,Cruise control,Active cruise control,Adaptive cruise control (ACC),TV tuner,Keyless engine start,Multifunction steering wheel.1,Wipers,Hill Holder - uphill assist,Head-Up display,CD changer,Sports suspension,Comfort suspension,Air suspension,Adjustable suspension.1,External wrapping,Hands-free kit,Paddle shifters,Price,Price details,Currency,URL path,ID,Epoch
Osoby prywatnej,Osobowe,Tak,Tak,Alpine,A110,Premiere Edition,,2018,55 000 km,1 798 cm3,Benzyna,252 KM,Automatyczna,,Na tylne koła,,,,,8 l/100km,Coupe,2,2.0,Niebieski,,Metalik,,Polska,Tak,,Tak,,,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,249000,Faktura VAT,PLN,https://www.otomoto.pl/osobowe/oferta/alpine-a110-polski-salon-cesja-lub-fv23-ID6Fa6VP.html,12d5a15d6f790da91af5946f840c6aeabd9d8535,1689256458
Osoby prywatnej,Osobowe,Tak,Tak,Alpine,A110,Premiere Edition,,2018,48 000 km,1 798 cm3,Benzyna,252 KM,Automatyczna,,Na tylne koła,,,138 g/km,,8 l/100km,Coupe,2,2.0,Niebieski,,Perłowy,,Polska,Tak,,,,,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,268000,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/alpine-a110-premiere-edition-ID6FyXKb.html,efdaec1e4c2ecb38b67e9110da4fa9caa762a5a6,1689256458
Firmy,Osobowe,Tak,Tak,Alpine,A110,Pure,,2018,3 000 km,1 798 cm3,Benzyna,252 KM,Automatyczna,,Na tylne koła,,,,,,Coupe,2,2.0,Granatowy,,Metalik,,Polska,,Tak,,,,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,259000,,PLN,https://www.otomoto.pl/osobowe/oferta/alpine-a110-alpine-a110-pure-salon-pl-1-wl-perfekcyjny-stan-autaniszowe-pl-ID6Fv8A1.html,5202f40fa9fd721b86cb4b18f318994bec777c01,1689256459
Firmy,Osobowe,Tak,Tak,Alpine,A110,Color Edition 2020,,2021,6 200 km,1 798 cm3,Benzyna,292 KM,Automatyczna,,Na tylne koła,,,,,,Coupe,2,2.0,Żółty,,,,Polska,,,Tak,20/04/2024,Tak,,Tak,,Tak,Tak,Używane,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,359283,"Możliwość odliczenia VAT, Faktura VAT",PLN,https://www.otomoto.pl/osobowe/oferta/alpine-a110-alpine-110s-limited-my21-color-edition-ID6FvrSa.html,ca4f834290777a8e3d057918e14a858ae2100d05,1689256459
Osoby prywatnej,Osobowe,Tak,Tak,Syrena,105,,,1982,22 700 km,842 cm3,Benzyna,40 KM,Manualna,,Na przednie koła,,,,,,Coupe,2,5.0,Żółty,,,,Polska,,,,,,,Tak,,Tak,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59000,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/syrena-105-syrena-105-l-1982-r-wyprzedaz-kolekcji-ID6FkEJ9.html,fe52b2d1c3f53285c9104d96d4f59dd59e8a00c3,1689256456
Osoby prywatnej,Osobowe,Tak,Tak,Syrena,105,,,1979,16 493 km,700 cm3,Benzyna,32 KM,Manualna,,Na przednie koła,,,,,,Auta małe,2,4.0,Żółty,,,,Polska,,,,,,,Tak,,Tak,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23300,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/syrena-105-syrena-105l-16-tys-km-1979r-masa-czesci-zamiennych-okolice-ilawy-ID6FEMKi.html,2287716fee09924e73c38cd5834405978afa1491,1689256455
Osoby prywatnej,Osobowe,Tak,Tak,Syrena,105,,,1981,84 640 km,842 cm3,Benzyna,40 KM,Manualna,,Na przednie koła,,,,,,Auta miejskie,2,5.0,Inny kolor,,Metalik,,Polska,,,,,,,Tak,,Tak,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/syrena-105-syrena-105-fso-warszawa-ID6Fxvql.html,2c416ed1d39994f4a5dc2f73d50878d41d64a8bf,1689256456
Osoby prywatnej,Osobowe,Tak,,Syrena,105,,,1982,62 000 km,800 cm3,Benzyna,28 KM,Manualna,,Na przednie koła,,,,,,Auta małe,2,5.0,Inny kolor,,,,Polska,,,,,,,Tak,,Tak,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,PLN,https://www.otomoto.pl/osobowe/oferta/syrena-105-ID6FCcAv.html,2d5298abe70cb7ec8f191214ee87cddcd376ee5f,1689256456
Osoby prywatnej,Osobowe,,Tak,Syrena,105,,,1977,40 000 km,850 cm3,Benzyna,40 KM,Manualna,,Na przednie koła,,,,,,Sedan,2,5.0,Żółty,,,,Polska,,,,,,,Tak,,Tak,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/syrena-105-fsm-syrena-105-biegi-w-kierownicy-dobry-stan-ID6FC2JE.html,4220b075bf90fb80530ee7879f6c35235280c948,1689256456
Osoby prywatnej,Osobowe,Tak,Tak,Tata,Indica,Vista 1.4 Safire,,2010,124 329 km,1 368 cm3,Benzyna,75 KM,Manualna,,Na przednie koła,,,139 g/km,,7 l/100km,Kompakt,5,5.0,Srebrny,,Metalik,,Polska,,,,,,,Tak,,Tak,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/tata-indica-tata-indica-2010-od-pierwszego-wlasciciela-ID6FEtzg.html,5613b1afd1520d82e3faadfb523d786d37d114e9,1689259289
