Oferta od,Kategoria,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Autonomia,Napęd,Pojemność baterii,Rodzaj własności baterii,Emisja CO2,Filtr cząstek stałych,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Rodzaj koloru,Kierownica po prawej (Anglik),Kraj pochodzenia,Leasing,VAT marża,Faktura VAT,Okres gwarancji producenta,Możliwość finansowania,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,ABS,Apple CarPlay,Android Auto,Boczne poduszki powietrzne - tył,Boczna poduszka powietrzna kierowcy,CD,Centralny zamek,Elektryczne szyby przednie,Elektrycznie ustawiany fotel pasażera,Elektrycznie ustawiane lusterka,Immobilizer,Poduszka powietrzna kierowcy,Poduszka powietrzna pasażera,Radio fabryczne,Wspomaganie kierownicy,Alarm,Alufelgi,ASR (kontrola trakcji),Alarm ruchu poprzecznego z tyłu pojazdu,Asystent parkowania,Asystent hamowania awaryjnego w mieście,Asystent hamowania - Brake Assist,Aktywny asystent zmiany pasa ruchu,Asystent jazdy w korku,Aktywne rozpoznawanie znaków ograniczenia prędkości,Asystent (czujnik) martwego pola,Asystent świateł drogowych,Asystent zapobiegania kolizjom na skrzyzowaniu,Asystent pasa ruchu,Automatyczna kontrola zjazdu ze stoku,Boczne poduszki powietrzne - przód,Cyfrowy kluczyk,Czujnik deszczu,Czujnik martwego pola,Czujnik zmierzchu,Czujniki parkowania przednie,Czujniki parkowania tylne,Dach panoramiczny,Dach otwierany elektrycznie,Dostęp do internetu,Dynamiczne światła doświetlające zakręty,Dźwignia zmiany biegów wykończona skórą,Ekran dotykowy,Elektrochromatyczne lusterka boczne,Elektrochromatyczne lusterko wsteczne,Elektryczne szyby tylne,Elektrycznie ustawiane fotele,Elektryczny hamulec postojowy,Elektroniczny system rozdziału siły hamowania,Elektroniczna kontrola ciśnienia w oponach,Elektroniczna regul. charakterystyki zawieszenia,Elektrycznie ustawiany fotel kierowcy,ESP,Felgi aluminiowe od 21,Felgi aluminiowe 19,Fotele przednie wentylowane,Fotele przednie z funkcje masażu,Funkcja szybkiego ładowania,Gniazdo AUX,Gniazdo SD,Gniazdo USB,Hak,Hamulce z kompozytów ceramicznych,HUD (wyświetlacz przezierny),Interfejs Bluetooth,Isofix,Kabel do ładowania,Kamera panoramiczna 360,Kamera cofania,Kamera parkowania tył,Kamera w lusterku bocznym,Kierownica ze sterowaniem radia,Kierownica skórzana,Kierownica wielofunkcyjna,Kierownica sportowa,Kierownica ogrzewana,Klimatyzacja automatyczna,Klimatyzacja czterostrefowa,Klimatyzacja automatyczna: 3 strefowa,Klimatyzacja dwustrefowa,"Klimatyzacja automatyczna, dwustrefowa",Klimatyzacja automatyczna: 4 lub wiêcej strefowa,Klimatyzacja manualna,Klimatyzacja dla pasażerów z tyłu,Komputer pokładowy,Kontrola trakcji,Kontrola odległości od poprzedzającego pojazdu,Kontrola odległości z tyłu (przy parkowaniu),Kontrola odległości z przodu (przy parkowaniu),Kurtyny powietrzne - przód,Kurtyny powietrzne - tył,Keyless Go,Keyless entry,Lane assist - kontrola zmiany pasa ruchu,Lampy tylne w technologii LED,Lampy przednie w technologii LED,Lampy bi-ksenonowe,Lampy ksenonowe,Lampy doświetlające zakręt,Lampy przeciwmgielne,Lampy przeciwmgielne w technologii LED,Lusterka boczne ustawiane elektrycznie,Lusterka boczne składane elektrycznie,Ładowanie bezprzewodowe urządzeń,Łopatki zmiany biegów,MP3,Nawigacja GPS,Niezależny system parkowania,Odtwarzacz DVD,Ogranicznik prędkości,Ogrzewanie postojowe,Ogrzewane siedzenia tylne,Opony runflat,Opony letnie,Opony wielosezonowe,Oświetlenie drogi do domu,Oświetlenie wnętrza LED,Oświetlenie adaptacyjne,Park Assistant - asystent parkowania,Podgrzewana przednia szyba,Podgrzewane lusterka boczne,Podgrzewane przednie siedzenia,Podgrzewane tylne siedzenia,Podłokietniki - przód,Podłokietniki - tył,Poduszka powietrzna chroniąca kolana,Poduszki boczne przednie,Poduszki boczne tylne,Poduszka powietrzna centralna,Poduszka kolan kierowcy,Poduszka kolan pasażera,Poduszka powietrzna pasów bezpieczeństwa zm tyłu,Podgrzewany fotel pasażera,Przyciemniane szyby,Przyciemniane tylne szyby,Radio niefabryczne,Radio,Regulowane zawieszenie,Regul. elektr. podparcia lędźwiowego - kierowca,Regul. elektr. podparcia lędźwiowego - pasażer,Relingi dachowe,Rolety na bocznych szybach opuszczane ręcznie,Siedzenie z pamięcią ustawienia,Sportowe fotele - przód,Spryskiwacze reflektorów,Sterowanie funkcjami pojazdu za pomocą głosu,System minimalizujący skutki kolizji,System wspomagania hamowania,System ostrzegający o możliwej kolizji,System rekomendacji przerw podczas trasy,System powiadamiania o wypadku,System Start/Stop,System nawigacji satelitarnej,System odzyskiwania energii,System nagłośnienia,System hamowania awaryjnego dla ochrony pieszych,System rozpoznawania znaków drogowych,Szyberdach,Szyberdach szklany - przesuwny i uchylny elektrycz,Światła do jazdy dziennej,Światła LED,Światła do jazdy dziennej diodowe LED,Światła przeciwmgielne,Światła Xenonowe,Tapicerka skórzana,Tapicerka Alcantara,Tapicerka welurowa,Tempomat,Tempomat aktywny,Tempomat adaptacyjny ACC,Tuner TV,Uruchamianie silnika bez użycia kluczyków,Wielofunkcyjna kierownica,Wycieraczki,Wspomaganie ruszania pod górę- Hill Holder,Wyświetlacz typu Head-Up,Zmieniarka CD,Zawieszenie sportowe,Zawieszenie komfortowe,Zawieszenie powietrzne,Zawieszenie regulowane,Zewnętrzne oklejenie,Zestaw głośnomówiący,Zmiana biegów w kierownicy,Cena,Szczegóły ceny,Waluta,url_path,id,epoch
Firmy,Osobowe,Tak,,Iveco,Daily,,,2022,1 000 km,2 950 cm3,Diesel,180 KM,Manualna,,,,,,,"12,40 l/100km",Auta miejskie,2,,Żółty,,,,Polska,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404670,Możliwość odliczenia VAT,PLN,https://www.otomoto.pl/osobowe/oferta/iveco-daily-eukran-pomoc-drogowa-laweta-ID6EDc1A.html,8ce1e82333b4ce551fdc90a064d74a4c9860b769,1689250577
Osoby prywatnej,Osobowe,Tak,Tak,Iveco,Daily,,,2021,87 000 km,2 998 cm3,Diesel,180 KM,Manualna,,,,,,,,Kompakt,2,3,Biały,,,,Polska,,,,,,,Tak,,Tak,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155000,,PLN,https://www.otomoto.pl/osobowe/oferta/iveco-daily-iveco-pierwszy-wlasciciel-stan-bardzo-dobry-ID6FBEKB.html,511d24d0148964576c2f6e13e64a894695186809,1689250577
Firmy,Osobowe,Tak,Tak,Iveco,Massif,,,1996,100 000 km,2 500 cm3,Diesel,120 KM,Manualna,,4x4 (stały),,,,,,Kombi,5,9,Zielony,,Matowy,,Włochy,,,,,,,Tak,,Tak,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89999,,PLN,https://www.otomoto.pl/osobowe/oferta/iveco-massif-vm-defender-unimog-4x4-wojskowy-wyprawowy-9-osob-plandeka-kat-b-ID6Ey02t.html,7396bba89d49e756f46d207ca3da31b1bc1c92ba,1689250577
Osoby prywatnej,Osobowe,Tak,Tak,Iveco,Daily,,,2019,223 999 km,2 287 cm3,Diesel,155 KM,Manualna,,Na przednie koła,,,,,,SUV,2,3,Biały,,,,Francja,Tak,,,,,,Tak,,,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,122451,Możliwość odliczenia VAT,PLN,https://www.otomoto.pl/osobowe/oferta/iveco-daily-iveco-cesja-leasingu-ID6FEPqF.html,ecd4ef10653b687e2c1142d8466f24a7dff6c492,1689250577
Osoby prywatnej,Osobowe,Tak,Tak,Iveco,Daily,,,2014,655 000 km,2 998 cm3,Diesel,145 KM,Manualna,,Na tylne koła,,,,,,Kombi,2,3,Biały,,Matowy,,,,,,,,,Tak,,,,Używane,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,44900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/iveco-daily-daily-50c15-4-75m-6-30m-3-5t-ID6FyqgK.html,7f1a52caadaaca611f0cb0971d90e8dd44194da4,1689250577
Osoby prywatnej,Osobowe,Tak,Tak,Iveco,Daily,35 C 12 D,,2008,250 000 km,2 287 cm3,Diesel,116 KM,Manualna,,Na tylne koła,,,,Tak,,Minivan,4,7,Biały,,,,,,,,,,,Tak,,,,Używane,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,45000,,PLN,https://www.otomoto.pl/osobowe/oferta/iveco-daily-35c12-dubel-kabina-wywrotka-ID6FELhu.html,e7ff05feb69098364af65c12a8e8bb2e2109e56f,1689250577
Osoby prywatnej,Osobowe,Tak,Tak,Iveco,Daily,,,2013,288 000 km,2 998 cm3,Diesel,145 KM,Manualna,,Na tylne koła,,,,,,Kombi,2,3,Biały,,Perłowy,,Polska,,,,,,,Tak,,Tak,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,69987,"Możliwość odliczenia VAT, Do negocjacji",PLN,https://www.otomoto.pl/osobowe/oferta/iveco-daily-iveco-35c15-2013-klima-krajowy-blizniak-dmc3-5-2013-ID6FDhMP.html,09047a861c4233a1f6acaf80c4ef18d8c13b3623,1689250577
Firmy,Osobowe,Tak,,Iveco,Massif,25S18 W Comfort,,2010,100 000 km,2 998 cm3,Diesel,176 KM,Manualna,,4x4 (stały),,,,,,Kombi,5,7,Srebrny,,Metalik,,Polska,,,,,,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64999,,PLN,https://www.otomoto.pl/osobowe/oferta/iveco-massif-jak-defender-4x4-klimatyzacja-ID6EpuZu.html,01bf9c2fe7934893f4dfa677130496fce2740fa7,1689250579
Osoby prywatnej,Osobowe,Tak,Tak,Iveco,Daily,,,2015,198 000 km,2 287 cm3,Diesel,145 KM,Manualna,,,,,,,,Minivan,4,7,Biały,,Metalik,,,,,,,,,Tak,,Tak,Tak,Używane,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,102090,"Możliwość odliczenia VAT, Do negocjacji",PLN,https://www.otomoto.pl/osobowe/oferta/iveco-daily-iveco-daily-35s15-stan-bardzo-dobry-drugi-wlasciciel-przebieg-198-000-ID6FC9mO.html,6b803bd3411cea09b5d8af4fba84e5e9d9f59ff4,1689250578
Osoby prywatnej,Osobowe,Tak,,Iveco,Daily,,,2003,371 349 km,2 287 cm3,Diesel,116 KM,Manualna,,,,,,,,Minivan,4,3,Biały,,,,,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,,PLN,https://www.otomoto.pl/osobowe/oferta/iveco-daily-ID6FCBo1.html,ee4e3b8717a6a664110a07359585240dbc21285e,1689250578
