Offer from,Category,Show offers with VIN number,Has registration number,Vehicle brand,Vehicle model,Version,Generation,Year of production,Mileage,Engine capacity,Fuel type,Power,Gearbox,Range,Drive,Battery capacity,Battery ownership type,CO2 emissions,Particulate filter,City fuel consumption,Body type,Number of doors,Number of seats,Color,Metallic,Color type,Right-hand drive (Anglik),Country of origin,Leasing,VAT margin,VAT invoice,Manufacturer warranty period,Financing possibility,First registration,Registered in Poland,First owner,Accident-free,Serviced at authorized service center,Condition,ABS,Apple CarPlay,Android Auto,Rear side airbags,Driver side airbag,CD,Central locking,Electric front windows,Electrically adjustable passenger seat,Electrically adjustable mirrors,Immobilizer,Driver airbag,Passenger airbag,Factory radio,Power steering,Alarm,Alloy wheels,ASR (traction control),Rear cross-traffic alert,Parking assistant,City emergency braking assistant,Brake Assist,Active lane change assistant,Traffic jam assistant,Active speed limit recognition,Blind spot assistant (sensor),Adaptive headlights,Intersection collision prevention assistant,Lane keeping assistant,Automatic descent control,Front side airbags,Digital key,Rain sensor,Blind spot sensor,Dusk sensor,Front parking sensors,Rear parking sensors,Panoramic roof,Electrically operated roof,Internet access,Dynamic cornering lights,Gear shift lever finished in leather,Touchscreen,Electrochromic side mirrors,Electrochromic rearview mirror,Electric rear windows,Electrically adjustable seats,Electric parking brake,Electronic brake force distribution system,Electronic tire pressure control,Electronic suspension adjustment,Electrically adjustable driver's seat,ESP,Alloy wheels from 21 inches,Alloy wheels 19 inches,Ventilated front seats,Front seats with massage function,Fast charging function,AUX socket,SD card socket,USB socket,Tow hitch,Ceramic composite brakes,HUD (Head-Up Display),Bluetooth interface,Isofix,Charging cable,360 panoramic camera,Reversing camera,Rear parking camera,Side mirror camera,Steering wheel audio controls,Leather steering wheel,Multifunction steering wheel,Sports steering wheel,Heated steering wheel,Automatic air conditioning,Four-zone air conditioning,Automatic air conditioning: 3-zone,Dual-zone air conditioning,"Automatic air conditioning, dual-zone",Automatic air conditioning: 4 or more zones,Manual air conditioning,Rear passenger air conditioning,On-board computer,Traction control,Distance control from the preceding vehicle,Rear distance control (parking),Front distance control (parking),Front air curtains,Rear air curtains,Keyless Go,Keyless entry,Lane assist - lane change control,LED taillights,LED headlights,Bi-xenon headlights,Xenon headlights,Cornering lights,Fog lights,LED fog lights,Electrically adjustable side mirrors,Electrically folding side mirrors,Wireless device charging,Gear shift paddles,MP3,GPS navigation,Independent parking system,DVD player,Speed limiter,Auxiliary heating,Heated rear seats,Runflat tires,Summer tires,All-season tires,Home lighting feature,LED interior lighting,Adaptive lighting,Park Assistant - parking assistant,Heated front windshield,Heated side mirrors,Heated front seats,Heated rear seats,Front armrests,Rear armrests,Knee airbag,Front side airbags,Rear side airbags,Central airbag,Driver's knee airbag,Passenger's knee airbag,Rear seat belt airbags,Heated passenger seat,Tinted windows,Tinted rear windows,Non-factory radio,Radio,Adjustable suspension,Electric lumbar support adjustment - driver,Electric lumbar support adjustment - passenger,Roof rails,Manually retractable side window blinds,Memory seat,Sports seats - front,Headlight washers,Voice-controlled vehicle functions,Collision mitigation system,Brake assist system,Collision warning system,Route break recommendation system,Accident notification system,Start/Stop system,Satellite navigation system,Energy recovery system,Sound system,Emergency braking system for pedestrian protection,Traffic sign recognition system,Sunroof,Electric sliding and tilting glass sunroof,Daytime running lights,LED lights,LED daytime running lights,Fog lights,Xenon lights,Leather upholstery,Alcantara upholstery,Velour upholstery,Cruise control,Active cruise control,Adaptive cruise control (ACC),TV tuner,Keyless engine start,Multifunction steering wheel,Wipers,Hill Holder - uphill assist,Head-Up display,CD changer,Sports suspension,Comfort suspension,Air suspension,Adjustable suspension,External wrapping,Hands-free kit,Paddle shifters,Price,Price details,Currency,URL path,ID,Epoch
Osoby prywatnej,Osobowe,Tak,,Tata,Safari,2.2 D 4x4 FE,,2008,106 880 km,2 179 cm3,Diesel,140 KM,Manualna,,,,,,,,SUV,5,,Inny kolor,,,,,,,,,,,,,,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/tata-safari-blizniak-nissan-terrano-ii-mozliwa-zamiana-zamienie-ID6FEt7h.html,9188af7c6a455b72c9a5956b1f169fe8b83dc3eb,1689259289
Osoby prywatnej,Osobowe,Tak,Tak,Tata,Indigo,SW 1.4 GLX,,2010,95 000 km,1 405 cm3,Benzyna+LPG,86 KM,Manualna,,Na przednie koła,,,165 g/km,,,Kombi,5,5.0,Błękitny,,,,Polska,,,,,,,Tak,,,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/tata-indigo-tata-indigo-do-naprawy-lub-na-czesci-ID6FEtVl.html,f6fb6b61f884967c69869f57bccfa018ffad8219,1689259288
Osoby prywatnej,Osobowe,Tak,Tak,Tata,Indica,Vista 1.4 Safire,,2010,124 329 km,1 368 cm3,Benzyna,75 KM,Manualna,,Na przednie koła,,,139 g/km,,7 l/100km,Kompakt,5,5.0,Srebrny,,Metalik,,Polska,,,,,,,Tak,,Tak,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/tata-indica-tata-indica-2010-od-pierwszego-wlasciciela-ID6FEtzg.html,5613b1afd1520d82e3faadfb523d786d37d114e9,1689259289
Firmy,Osobowe,Tak,,Tata,Indica,,,2010,103 284 km,1 405 cm3,Benzyna,86 KM,Manualna,,Na przednie koła,,,,,,Kompakt,5,5.0,Srebrny,,Metalik,,Niemcy,,Tak,,,,,,,Tak,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/tata-indica-tata-indigo-marina-1-4-benzyna-z-2010-roku-ID6FCIKL.html,b7044050079aeaf3ef0233dc400bd7bf80406400,1689259289
Firmy,Osobowe,Tak,,Tata,Inny,,,2011,147 000 km,2 179 cm3,Diesel,140 KM,Manualna,,4x4 (dołączany ręcznie),,,,,,SUV,5,5.0,Czarny,,Metalik,,,,Tak,,,Tak,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/tata-aria-4x4-ID6FCi8s.html,048e7ed0f6649f5057d3ec8009ea95ec3829ff53,1689259289
Osoby prywatnej,Osobowe,Tak,,Tata,Inny,,,2011,31 000 km,2 179 cm3,Diesel,140 KM,Manualna,,4x4 (dołączany ręcznie),,,,,7 l/100km,SUV,4,5.0,Biały,,,,Szwajcaria,,,,,,,Tak,,Tak,,Używane,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/tata-tata-telcoline-l200-isuzu-2-2-140km-4x4-klimatyzacja-2011r-ID6FdzD5.html,5af2d2297127ede9c344990511ed36cf18d48ee4,1689259289
Osoby prywatnej,Osobowe,Tak,,Tata,Indigo,SW 1.4 GLX,,2008,63 000 km,1 405 cm3,Benzyna,86 KM,Manualna,,,,,,,,Kombi,5,,Szary,,,,,,,,,,,,,,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7880,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/tata-indigo-sprzedam-tata-indigo-sw-1-4-glx-ID6FE4qh.html,bfbf026279d8ca15449424c24ec40e264c2e92e0,1689259289
Firmy,Osobowe,Tak,,Tata,Inny,,,2006,149 400 km,1 948 cm3,Diesel,87 KM,Manualna,,Na tylne koła,,,,,,SUV,4,5.0,Biały,,,,Włochy,,Tak,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20500,,PLN,https://www.otomoto.pl/osobowe/oferta/tata-207-telcoline-pick-up-2-0-td-87km-ID6FzvdS.html,df9f20a0731c5ccdd8597e9f05b2e00ac8f7a119,1689259349
Osoby prywatnej,Osobowe,Tak,,Tata,Indica,1.4 GLX,,2008,25 700 km,1 405 cm3,Benzyna,86 KM,Manualna,,Na przednie koła,,,,,,Kompakt,5,5.0,Niebieski,,Metalik,,Polska,,,,,,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8500,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/tata-indica-tata-indica-zobacz-opis-stan-idealny-jeden-wlasciciel-jak-nowy-ID6Fow1i.html,11a8f562c0b8fe542dab3dc130cec89bac14c618,1689259349
Osoby prywatnej,Osobowe,Tak,Tak,Alpine,A110,Premiere Edition,,2018,55 000 km,1 798 cm3,Benzyna,252 KM,Automatyczna,,Na tylne koła,,,,,8 l/100km,Coupe,2,2.0,Niebieski,,Metalik,,Polska,Tak,,Tak,,,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,249000,Faktura VAT,PLN,https://www.otomoto.pl/osobowe/oferta/alpine-a110-polski-salon-cesja-lub-fv23-ID6Fa6VP.html,12d5a15d6f790da91af5946f840c6aeabd9d8535,1689256458
Osoby prywatnej,Osobowe,Tak,,Alpine,A110,,,2019,30 000 km,1 798 cm3,Benzyna+LPG,292 KM,Manualna,,,,,,,,Coupe,2,,Brązowy,,,,,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,,PLN,https://www.otomoto.pl/osobowe/oferta/alpine-a110-ID6FAhWJ.html,2a6d89af0f823aeebac7975e4e8f5b246c55f05b,1689256458
Firmy,Osobowe,,,Alpine,A110,Standard,,2023,1 km,1 798 cm3,Benzyna,252 KM,Automatyczna,,Na tylne koła,,,157 g/km,,,Coupe,2,2.0,Zielony,,Metalik,,Polska,Tak,,Tak,,,,,,Tak,,Nowe,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,340700,Faktura VAT,PLN,https://www.otomoto.pl/osobowe/oferta/alpine-a110-vert-emeraude-053-110-ID6FthRQ.html,d9907eb465f951b42fc7eec05e5d02d5ee8c500f,1689256458
Firmy,Osobowe,Tak,,Alpine,A110,GT,,2022,7 751 km,1 798 cm3,Benzyna,300 KM,Automatyczna,,,,,,,,Coupe,2,2.0,Szary,,Matowy,,Polska,,,Tak,,,,Tak,,,Tak,Używane,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,129900,"Do negocjacji, Faktura VAT",PLN,https://www.otomoto.pl/osobowe/oferta/alpine-a110-a110-legende-gt-limitowana-wersja-nr-143-z-300-sztuk-salon-polska-fakt-ID6FwZ9n.html,2ee1619b61211011a47ebbd7ecbc326fd2b79a2e,1689256459
Osoby prywatnej,Osobowe,Tak,Tak,Alpine,A110,Premiere Edition,,2018,48 000 km,1 798 cm3,Benzyna,252 KM,Automatyczna,,Na tylne koła,,,138 g/km,,8 l/100km,Coupe,2,2.0,Niebieski,,Perłowy,,Polska,Tak,,,,,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,268000,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/alpine-a110-premiere-edition-ID6FyXKb.html,efdaec1e4c2ecb38b67e9110da4fa9caa762a5a6,1689256458
