Offer from,Category,Show offers with VIN number,Has registration number,Vehicle brand,Vehicle model,Version,Generation,Year of production,Mileage,Engine capacity,Fuel type,Power,Gearbox,Range,Drive,Battery capacity,Battery ownership type,CO2 emissions,Particulate filter,City fuel consumption,Body type,Number of doors,Number of seats,Color,Metallic,Color type,Right-hand drive (Anglik),Country of origin,Leasing,VAT margin,VAT invoice,Manufacturer warranty period,Financing possibility,First registration,Registered in Poland,First owner,Accident-free,Serviced at authorized service center,Condition,ABS,Apple CarPlay,Android Auto,Rear side airbags,Driver side airbag,CD,Central locking,Electric front windows,Electrically adjustable passenger seat,Electrically adjustable mirrors,Immobilizer,Driver airbag,Passenger airbag,Factory radio,Power steering,Alarm,Alloy wheels,ASR (traction control),Rear cross-traffic alert,Parking assistant,City emergency braking assistant,Brake Assist,Active lane change assistant,Traffic jam assistant,Active speed limit recognition,Blind spot assistant (sensor),Adaptive headlights,Intersection collision prevention assistant,Lane keeping assistant,Automatic descent control,Front side airbags,Digital key,Rain sensor,Blind spot sensor,Dusk sensor,Front parking sensors,Rear parking sensors,Panoramic roof,Electrically operated roof,Internet access,Dynamic cornering lights,Gear shift lever finished in leather,Touchscreen,Electrochromic side mirrors,Electrochromic rearview mirror,Electric rear windows,Electrically adjustable seats,Electric parking brake,Electronic brake force distribution system,Electronic tire pressure control,Electronic suspension adjustment,Electrically adjustable driver's seat,ESP,Alloy wheels from 21 inches,Alloy wheels 19 inches,Ventilated front seats,Front seats with massage function,Fast charging function,AUX socket,SD card socket,USB socket,Tow hitch,Ceramic composite brakes,HUD (Head-Up Display),Bluetooth interface,Isofix,Charging cable,360 panoramic camera,Reversing camera,Rear parking camera,Side mirror camera,Steering wheel audio controls,Leather steering wheel,Multifunction steering wheel,Sports steering wheel,Heated steering wheel,Automatic air conditioning,Four-zone air conditioning,Automatic air conditioning: 3-zone,Dual-zone air conditioning,"Automatic air conditioning, dual-zone",Automatic air conditioning: 4 or more zones,Manual air conditioning,Rear passenger air conditioning,On-board computer,Traction control,Distance control from the preceding vehicle,Rear distance control (parking),Front distance control (parking),Front air curtains,Rear air curtains,Keyless Go,Keyless entry,Lane assist - lane change control,LED taillights,LED headlights,Bi-xenon headlights,Xenon headlights,Cornering lights,Fog lights,LED fog lights,Electrically adjustable side mirrors,Electrically folding side mirrors,Wireless device charging,Gear shift paddles,MP3,GPS navigation,Independent parking system,DVD player,Speed limiter,Auxiliary heating,Heated rear seats,Runflat tires,Summer tires,All-season tires,Home lighting feature,LED interior lighting,Adaptive lighting,Park Assistant - parking assistant,Heated front windshield,Heated side mirrors,Heated front seats,Heated rear seats.1,Front armrests,Rear armrests,Knee airbag,Front side airbags.1,Rear side airbags.1,Central airbag,Driver's knee airbag,Passenger's knee airbag,Rear seat belt airbags,Heated passenger seat,Tinted windows,Tinted rear windows,Non-factory radio,Radio,Adjustable suspension,Electric lumbar support adjustment - driver,Electric lumbar support adjustment - passenger,Roof rails,Manually retractable side window blinds,Memory seat,Sports seats - front,Headlight washers,Voice-controlled vehicle functions,Collision mitigation system,Brake assist system,Collision warning system,Route break recommendation system,Accident notification system,Start/Stop system,Satellite navigation system,Energy recovery system,Sound system,Emergency braking system for pedestrian protection,Traffic sign recognition system,Sunroof,Electric sliding and tilting glass sunroof,Daytime running lights,LED lights,LED daytime running lights,Fog lights.1,Xenon lights,Leather upholstery,Alcantara upholstery,Velour upholstery,Cruise control,Active cruise control,Adaptive cruise control (ACC),TV tuner,Keyless engine start,Multifunction steering wheel.1,Wipers,Hill Holder - uphill assist,Head-Up display,CD changer,Sports suspension,Comfort suspension,Air suspension,Adjustable suspension.1,External wrapping,Hands-free kit,Paddle shifters,Price,Price details,Currency,URL path,ID,Epoch,predictions
Osoby prywatnej,Osobowe,Tak,Tak,Nissan,X-Trail,2.0 dCi Tekna Xtronic 4WD,III (2014-),2018,68 636 km,1 995 cm3,Diesel,177 KM,Automatyczna,,4x4 (dołączany automatycznie),,,162 g/km,Tak,6 l/100km,SUV,5.0,5.0,Biały,,Perłowy,,Polska,,,,31/07/2023,,,Tak,,Tak,Tak,Używane,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,1.0,,114882,"Możliwość odliczenia VAT, Do negocjacji",PLN,https://www.otomoto.pl/osobowe/oferta/nissan-x-trail-nissan-x-trail-2018-tekna-xtronic-4wd-2-0-dci-177-km-ID6FzkuG.html,3f7de35351c4a7ef3276dc9b5af4b24f4466a162,1689328020,118701.734
Osoby prywatnej,Osobowe,Tak,Tak,Nissan,Qashqai,1.3 DIG-T N-Connecta,II (2013-2021),2021,28 100 km,1 332 cm3,Benzyna,140 KM,Manualna,,Na przednie koła,,,,,,SUV,5.0,5.0,Srebrny,,,,Polska,,,,19/05/2024,,,Tak,,Tak,Tak,Używane,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,89900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/nissan-qashqai-nissan-qashquai-n-connecta-benz-krajowy-dach-panorama-kom-360-ID6FEoxR.html,6a650d0f063f84184b0899c15d58fbbf388fb07f,1689328021,101061.5
Osoby prywatnej,Osobowe,Tak,Tak,Nissan,X-Trail,1.6 DCi Tekna 2WD,III (2014-),2017,119 000 km,1 598 cm3,Diesel,130 KM,Manualna,,Na przednie koła,,,,,"5,80 l/100km",SUV,5.0,5.0,Szary,,Metalik,,Polska,,,,,,,Tak,,Tak,Tak,Używane,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,76900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/nissan-x-trail-1-6-dci-130km-panorama-navi-klima-alu-19-serwis-acc-full-opcja-ladny-ID6FEnOR.html,1dab49edc91966bd51cdfa9cfd452f9c76de5cf5,1689328021,64353.445
Osoby prywatnej,Osobowe,Tak,,Nissan,Juke,,I (2010-2019),2015,65 200 km,1 197 cm3,Benzyna,115 KM,Manualna,,,,,,,,Auta miejskie,5.0,5.0,Czarny,,,,Polska,,,,,,,Tak,,Tak,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47700,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/nissan-juke-salon-polska-serwisowany-aso-benzyna-led-ID6FAa9G.html,088a4f7f2f2c054a6f737a8e5d79bf7ffdbf0b70,1689328025,47279.934
Firmy,Osobowe,Tak,,Nissan,Juke,1.0 DIG-T N-Connecta DCT,II (2019-),2021,45 638 km,999 cm3,Benzyna,114 KM,Automatyczna,,Na przednie koła,,,,,,SUV,5.0,5.0,Czerwony,,Metalik,,Polska,Tak,,Tak,,Tak,,Tak,,Tak,Tak,Używane,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,92900,Faktura VAT,PLN,https://www.otomoto.pl/osobowe/oferta/nissan-juke-n-connecta-114km-automat-ID6Fcdi4.html,1a10347201047780d46b9847194edbdc19738822,1689328026,97501.9
Osoby prywatnej,Osobowe,Tak,Tak,Nissan,Almera,,N16 (2000-2006),2005,213 200 km,1 497 cm3,Benzyna+LPG,98 KM,Manualna,,Na przednie koła,,,,,8 l/100km,Kompakt,5.0,5.0,Brązowy,,Metalik,,Polska,,,,,,,Tak,,Tak,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/nissan-almera-nissan-almera-n16-2005-lpg-ID6FElEW.html,9e7d4dcb14e42a4ff7eb95d3ce23dff99fed02fc,1689328026,15849.078
Firmy,Osobowe,Tak,,Nissan,Qashqai,1.3 DIG-T N-Style DCT,II (2013-2021),2021,65 486 km,1 332 cm3,Benzyna,158 KM,Automatyczna,,Na przednie koła,,,,,,SUV,5.0,5.0,Szary,,Metalik,,Polska,Tak,,Tak,,Tak,,Tak,,Tak,Tak,Używane,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,101900,Faktura VAT,PLN,https://www.otomoto.pl/osobowe/oferta/nissan-qashqai-1-3-dig-t-158km-dct-automat-n-style-pakiet-komfort-2021-ID6FFd68.html,ad9427df658017c32563203c748af84a52b05cd7,1689328027,111493.04
Firmy,Osobowe,Tak,,Nissan,Qashqai,1.3 DIG-T N-Style DCT,II (2013-2021),2021,54 796 km,1 332 cm3,Benzyna,158 KM,Automatyczna,,Na przednie koła,,,,,,SUV,5.0,5.0,Biały,,Perłowy,,Polska,Tak,,Tak,,Tak,,Tak,,Tak,Tak,Używane,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,101900,Faktura VAT,PLN,https://www.otomoto.pl/osobowe/oferta/nissan-qashqai-1-3-dig-t-158km-dct-automat-n-style-pakiet-komfortowy-2021-ID6FFcTZ.html,86d1f312318000ad0d5e26d938ed5677f4f2f94d,1689328027,119882.32
Firmy,Osobowe,Tak,,Nissan,Qashqai,,III (2021-),2022,18 853 km,1 332 cm3,Benzyna,140 KM,Manualna,,Na przednie koła,,,,,,SUV,5.0,5.0,Szary,,,,Polska,Tak,,Tak,,Tak,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,119900,Faktura VAT,PLN,https://www.otomoto.pl/osobowe/oferta/nissan-qashqai-emil-frey-select-faktura-vat23-1-3-dig-t-mhev-140-km-ID6FCJUC.html,3ecad5c3c740a503eab3897676b51a106973caf9,1689328027,119196.6
Osoby prywatnej,Osobowe,Tak,,Nissan,Qashqai,1.6 I-Way,I (2007-2013),2011,95 500 km,1 598 cm3,Benzyna,116 KM,Manualna,,Na przednie koła,,,144 g/km,,7 l/100km,SUV,5.0,5.0,Szary,,Metalik,,Polska,,,,,,,Tak,,Tak,Tak,Używane,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,44800,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/nissan-qashqai-1-wl-salon-pl-navi-kamera-panorama-przeb-95-500-km-ID6FFc5Z.html,99f4a375d2125ae185b1c9648dc9e1048c13c9cc,1689328028,39542.99
