Oferta od,Kategoria,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Autonomia,Napęd,Pojemność baterii,Rodzaj własności baterii,Emisja CO2,Filtr cząstek stałych,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Rodzaj koloru,Kierownica po prawej (Anglik),Kraj pochodzenia,Leasing,VAT marża,Faktura VAT,Okres gwarancji producenta,Możliwość finansowania,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,ABS,Apple CarPlay,Android Auto,Boczne poduszki powietrzne - tył,Boczna poduszka powietrzna kierowcy,CD,Centralny zamek,Elektryczne szyby przednie,Elektrycznie ustawiany fotel pasażera,Elektrycznie ustawiane lusterka,Immobilizer,Poduszka powietrzna kierowcy,Poduszka powietrzna pasażera,Radio fabryczne,Wspomaganie kierownicy,Alarm,Alufelgi,ASR (kontrola trakcji),Alarm ruchu poprzecznego z tyłu pojazdu,Asystent parkowania,Asystent hamowania awaryjnego w mieście,Asystent hamowania - Brake Assist,Aktywny asystent zmiany pasa ruchu,Asystent jazdy w korku,Aktywne rozpoznawanie znaków ograniczenia prędkości,Asystent (czujnik) martwego pola,Asystent świateł drogowych,Asystent zapobiegania kolizjom na skrzyzowaniu,Asystent pasa ruchu,Automatyczna kontrola zjazdu ze stoku,Boczne poduszki powietrzne - przód,Cyfrowy kluczyk,Czujnik deszczu,Czujnik martwego pola,Czujnik zmierzchu,Czujniki parkowania przednie,Czujniki parkowania tylne,Dach panoramiczny,Dach otwierany elektrycznie,Dostęp do internetu,Dynamiczne światła doświetlające zakręty,Dźwignia zmiany biegów wykończona skórą,Ekran dotykowy,Elektrochromatyczne lusterka boczne,Elektrochromatyczne lusterko wsteczne,Elektryczne szyby tylne,Elektrycznie ustawiane fotele,Elektryczny hamulec postojowy,Elektroniczny system rozdziału siły hamowania,Elektroniczna kontrola ciśnienia w oponach,Elektroniczna regul. charakterystyki zawieszenia,Elektrycznie ustawiany fotel kierowcy,ESP,Felgi aluminiowe od 21,Felgi aluminiowe 19,Fotele przednie wentylowane,Fotele przednie z funkcje masażu,Funkcja szybkiego ładowania,Gniazdo AUX,Gniazdo SD,Gniazdo USB,Hak,Hamulce z kompozytów ceramicznych,HUD (wyświetlacz przezierny),Interfejs Bluetooth,Isofix,Kabel do ładowania,Kamera panoramiczna 360,Kamera cofania,Kamera parkowania tył,Kamera w lusterku bocznym,Kierownica ze sterowaniem radia,Kierownica skórzana,Kierownica wielofunkcyjna,Kierownica sportowa,Kierownica ogrzewana,Klimatyzacja automatyczna,Klimatyzacja czterostrefowa,Klimatyzacja automatyczna: 3 strefowa,Klimatyzacja dwustrefowa,"Klimatyzacja automatyczna, dwustrefowa",Klimatyzacja automatyczna: 4 lub wiêcej strefowa,Klimatyzacja manualna,Klimatyzacja dla pasażerów z tyłu,Komputer pokładowy,Kontrola trakcji,Kontrola odległości od poprzedzającego pojazdu,Kontrola odległości z tyłu (przy parkowaniu),Kontrola odległości z przodu (przy parkowaniu),Kurtyny powietrzne - przód,Kurtyny powietrzne - tył,Keyless Go,Keyless entry,Lane assist - kontrola zmiany pasa ruchu,Lampy tylne w technologii LED,Lampy przednie w technologii LED,Lampy bi-ksenonowe,Lampy ksenonowe,Lampy doświetlające zakręt,Lampy przeciwmgielne,Lampy przeciwmgielne w technologii LED,Lusterka boczne ustawiane elektrycznie,Lusterka boczne składane elektrycznie,Ładowanie bezprzewodowe urządzeń,Łopatki zmiany biegów,MP3,Nawigacja GPS,Niezależny system parkowania,Odtwarzacz DVD,Ogranicznik prędkości,Ogrzewanie postojowe,Ogrzewane siedzenia tylne,Opony runflat,Opony letnie,Opony wielosezonowe,Oświetlenie drogi do domu,Oświetlenie wnętrza LED,Oświetlenie adaptacyjne,Park Assistant - asystent parkowania,Podgrzewana przednia szyba,Podgrzewane lusterka boczne,Podgrzewane przednie siedzenia,Podgrzewane tylne siedzenia,Podłokietniki - przód,Podłokietniki - tył,Poduszka powietrzna chroniąca kolana,Poduszki boczne przednie,Poduszki boczne tylne,Poduszka powietrzna centralna,Poduszka kolan kierowcy,Poduszka kolan pasażera,Poduszka powietrzna pasów bezpieczeństwa zm tyłu,Podgrzewany fotel pasażera,Przyciemniane szyby,Przyciemniane tylne szyby,Radio niefabryczne,Radio,Regulowane zawieszenie,Regul. elektr. podparcia lędźwiowego - kierowca,Regul. elektr. podparcia lędźwiowego - pasażer,Relingi dachowe,Rolety na bocznych szybach opuszczane ręcznie,Siedzenie z pamięcią ustawienia,Sportowe fotele - przód,Spryskiwacze reflektorów,Sterowanie funkcjami pojazdu za pomocą głosu,System minimalizujący skutki kolizji,System wspomagania hamowania,System ostrzegający o możliwej kolizji,System rekomendacji przerw podczas trasy,System powiadamiania o wypadku,System Start/Stop,System nawigacji satelitarnej,System odzyskiwania energii,System nagłośnienia,System hamowania awaryjnego dla ochrony pieszych,System rozpoznawania znaków drogowych,Szyberdach,Szyberdach szklany - przesuwny i uchylny elektrycz,Światła do jazdy dziennej,Światła LED,Światła do jazdy dziennej diodowe LED,Światła przeciwmgielne,Światła Xenonowe,Tapicerka skórzana,Tapicerka Alcantara,Tapicerka welurowa,Tempomat,Tempomat aktywny,Tempomat adaptacyjny ACC,Tuner TV,Uruchamianie silnika bez użycia kluczyków,Wielofunkcyjna kierownica,Wycieraczki,Wspomaganie ruszania pod górę- Hill Holder,Wyświetlacz typu Head-Up,Zmieniarka CD,Zawieszenie sportowe,Zawieszenie komfortowe,Zawieszenie powietrzne,Zawieszenie regulowane,Zewnętrzne oklejenie,Zestaw głośnomówiący,Zmiana biegów w kierownicy,Cena,Szczegóły ceny,Waluta,url_path,id,epoch
Osoby prywatnej,Osobowe,Tak,Tak,Abarth,595,,,2019,17 000 km,1 368 cm3,Benzyna,160 KM,Manualna,,,,,,,,Auta miejskie,3,4.0,Czarny,,Metalik,,Polska,,,,,,,Tak,,Tak,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/abarth-595-stan-idealny-ID6FBXcO.html,2eea55f43ed480eb23e559cd02afe1fdbed1a999,1687616192
Osoby prywatnej,Osobowe,Tak,,Abarth,595,,,2017,49 000 km,1 368 cm3,Benzyna,180 KM,Manualna,,Na przednie koła,,,,,,Auta małe,2,4.0,Żółty,,,,Polska,,,,,,,Tak,,Tak,Tak,Używane,1.0,,,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,88000,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/abarth-595-595c-cabrio-giallo-modena-1-wl-salon-pl-serwis-aso-bezwypadkowy-ID6FBQA2.html,fc2a514e88ee9e94701c34bd2d8d8ed4067bb47e,1687616192
Osoby prywatnej,Osobowe,Tak,Tak,Abarth,500,,,2011,24 800 km,1 368 cm3,Benzyna,135 KM,Manualna,,Na przednie koła,,,155 g/km,,8 l/100km,Kabriolet,3,4.0,Biały,,,,Polska,,,,,,,Tak,,Tak,Tak,Używane,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,57900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/abarth-500-abarth-500-cabrio-ID6FBupW.html,c148e22e6d303d70468b168421b87d8b473d39b0,1687616191
Osoby prywatnej,Osobowe,Tak,Tak,Abarth,Punto Evo,,,2012,151 500 km,1 368 cm3,Benzyna,180 KM,Manualna,,Na przednie koła,,,,,,Auta miejskie,2,4.0,Szary,,Metalik,,Polska,,,,,,,,,Tak,,Używane,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,49900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/abarth-punto-evo-abarth-punto-evo-super-sport-sabelty-ID6FBomo.html,882919a8fa105878753be6caf6cf0005ae624c8e,1687616192
Firmy,Osobowe,Tak,,Abarth,Grande Punto,,,2010,127 963 km,1 368 cm3,Benzyna,163 KM,Manualna,,Na przednie koła,,,,,,Kompakt,3,4.0,Biały,,Metalik,,,Tak,,,,Tak,,Tak,,Tak,,Używane,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,33000,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/abarth-grande-punto-1-4-multiair-abarth-klimatronic-tempomat-ID6FzIeB.html,755f3782410e80465876709189c365daee581bb0,1687616192
Osoby prywatnej,Osobowe,Tak,,Abarth,695,,,2018,40 000 km,1 400 cm3,Benzyna,180 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,2,4.0,Inny kolor,,Metalik,,Polska,,,Tak,28/02/2024,,,Tak,,Tak,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,185000,Faktura VAT,PLN,https://www.otomoto.pl/osobowe/oferta/abarth-695-fiat-695-1-4-16v-180-km-turbo-abarth-rivale-ID6FyKzF.html,42fbd6d26f2ed2b8456a8ff691fd123f1af88b9f,1687616192
Osoby prywatnej,Osobowe,Tak,,Abarth,Grande Punto,,,2009,238 541 km,1 368 cm3,Benzyna,155 KM,Manualna,,Na przednie koła,,,,,,Auta miejskie,3,4.0,Biały,,,,Szwajcaria,,,,,,,Tak,,,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,23900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/abarth-grande-punto-1-4t-155-km-zadbany-nowy-rozrzad-po-duzym-serwisie-dwa-kpl-opon-ID6FB2Hl.html,145ebc2ba8ef249278a3d51207c397a2fa940bf2,1687616192
Firmy,Osobowe,Tak,,Abarth,500,,,2009,136 000 km,1 400 cm3,Benzyna,135 KM,Manualna,,Na przednie koła,,,,,,Auta miejskie,3,4.0,Czarny,,Metalik,,Niemcy,,Tak,,,Tak,,,,Tak,Tak,Używane,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,28900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/abarth-500-gwarancja-serwis-ID6Fz5tZ.html,e51a9e52fd5cd2248661caaf4c619be20f6c477b,1687616192
Firmy,Osobowe,Tak,,Abarth,595,,,2020,6 500 km,1 368 cm3,Benzyna,180 KM,Manualna,,Na przednie koła,,,,,,Kompakt,3,4.0,Czerwony,,,,Polska,,Tak,,,,,,,Tak,Tak,Używane,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,109900,,PLN,https://www.otomoto.pl/osobowe/oferta/abarth-595-competizione-1-4-t-jet-180-km-polski-salon-ID6Fyza5.html,bb59783117f101c35f9de4b393f5de26092ca56e,1687616192
Osoby prywatnej,Osobowe,Tak,,Abarth,500,,,2015,88 500 km,1 368 cm3,Benzyna,145 KM,Manualna,,Na przednie koła,,,,,8 l/100km,Kompakt,3,4.0,Szary,,Metalik,,Polska,,,,,,,Tak,,Tak,Tak,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,1.0,,56000,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/abarth-500-do-sprzedania-abarth-595-turismo-ID6F7oJe.html,c7725b51e79038ad0c28dbe52bc2d2457e11878b,1687616193
