Offer from,Category,Show offers with VIN number,Has registration number,Vehicle brand,Vehicle model,Version,Generation,Year of production,Mileage,Engine capacity,Fuel type,Power,Gearbox,Range,Drive,Battery capacity,Battery ownership type,CO2 emissions,Particulate filter,City fuel consumption,Body type,Number of doors,Number of seats,Color,Metallic,Color type,Right-hand drive (Anglik),Country of origin,Leasing,VAT margin,VAT invoice,Manufacturer warranty period,Financing possibility,First registration,Registered in Poland,First owner,Accident-free,Serviced at authorized service center,Condition,ABS,Apple CarPlay,Android Auto,Rear side airbags,Driver side airbag,CD,Central locking,Electric front windows,Electrically adjustable passenger seat,Electrically adjustable mirrors,Immobilizer,Driver airbag,Passenger airbag,Factory radio,Power steering,Alarm,Alloy wheels,ASR (traction control),Rear cross-traffic alert,Parking assistant,City emergency braking assistant,Brake Assist,Active lane change assistant,Traffic jam assistant,Active speed limit recognition,Blind spot assistant (sensor),Adaptive headlights,Intersection collision prevention assistant,Lane keeping assistant,Automatic descent control,Front side airbags,Digital key,Rain sensor,Blind spot sensor,Dusk sensor,Front parking sensors,Rear parking sensors,Panoramic roof,Electrically operated roof,Internet access,Dynamic cornering lights,Gear shift lever finished in leather,Touchscreen,Electrochromic side mirrors,Electrochromic rearview mirror,Electric rear windows,Electrically adjustable seats,Electric parking brake,Electronic brake force distribution system,Electronic tire pressure control,Electronic suspension adjustment,Electrically adjustable driver's seat,ESP,Alloy wheels from 21 inches,Alloy wheels 19 inches,Ventilated front seats,Front seats with massage function,Fast charging function,AUX socket,SD card socket,USB socket,Tow hitch,Ceramic composite brakes,HUD (Head-Up Display),Bluetooth interface,Isofix,Charging cable,360 panoramic camera,Reversing camera,Rear parking camera,Side mirror camera,Steering wheel audio controls,Leather steering wheel,Multifunction steering wheel,Sports steering wheel,Heated steering wheel,Automatic air conditioning,Four-zone air conditioning,Automatic air conditioning: 3-zone,Dual-zone air conditioning,"Automatic air conditioning, dual-zone",Automatic air conditioning: 4 or more zones,Manual air conditioning,Rear passenger air conditioning,On-board computer,Traction control,Distance control from the preceding vehicle,Rear distance control (parking),Front distance control (parking),Front air curtains,Rear air curtains,Keyless Go,Keyless entry,Lane assist - lane change control,LED taillights,LED headlights,Bi-xenon headlights,Xenon headlights,Cornering lights,Fog lights,LED fog lights,Electrically adjustable side mirrors,Electrically folding side mirrors,Wireless device charging,Gear shift paddles,MP3,GPS navigation,Independent parking system,DVD player,Speed limiter,Auxiliary heating,Heated rear seats,Runflat tires,Summer tires,All-season tires,Home lighting feature,LED interior lighting,Adaptive lighting,Park Assistant - parking assistant,Heated front windshield,Heated side mirrors,Heated front seats,Heated rear seats,Front armrests,Rear armrests,Knee airbag,Front side airbags,Rear side airbags,Central airbag,Driver's knee airbag,Passenger's knee airbag,Rear seat belt airbags,Heated passenger seat,Tinted windows,Tinted rear windows,Non-factory radio,Radio,Adjustable suspension,Electric lumbar support adjustment - driver,Electric lumbar support adjustment - passenger,Roof rails,Manually retractable side window blinds,Memory seat,Sports seats - front,Headlight washers,Voice-controlled vehicle functions,Collision mitigation system,Brake assist system,Collision warning system,Route break recommendation system,Accident notification system,Start/Stop system,Satellite navigation system,Energy recovery system,Sound system,Emergency braking system for pedestrian protection,Traffic sign recognition system,Sunroof,Electric sliding and tilting glass sunroof,Daytime running lights,LED lights,LED daytime running lights,Fog lights,Xenon lights,Leather upholstery,Alcantara upholstery,Velour upholstery,Cruise control,Active cruise control,Adaptive cruise control (ACC),TV tuner,Keyless engine start,Multifunction steering wheel,Wipers,Hill Holder - uphill assist,Head-Up display,CD changer,Sports suspension,Comfort suspension,Air suspension,Adjustable suspension,External wrapping,Hands-free kit,Paddle shifters,Price,Price details,Currency,URL path,ID,Epoch
Osoby prywatnej,Osobowe,Tak,,Acura,RL,,,2015,150 000 km,3 500 cm3,Benzyna,310 KM,Automatyczna,,,,,,,,Auta miejskie,4,5.0,Brązowy,,,,,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/acura-rl-acura-rlx-3-5-benzyna-310-moc-zamiana-ID6FAZEa.html,43a2504530acb29bbcf4eeec7b7d998a13499dce,1687195718
Osoby prywatnej,Osobowe,Tak,,Acura,TL,,,2015,112 000 km,2 400 cm3,Benzyna,205 KM,Automatyczna,,,,,,,,Sedan,4,5.0,Czarny,,Metalik,,Stany Zjednoczone,,,,,,,,,,,Używane,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,33900,,PLN,https://www.otomoto.pl/osobowe/oferta/acura-tl-tlx-ID6FAfNx.html,d0f1d6452577528cca31f80ff00ea814273c29f8,1687195718
Osoby prywatnej,Osobowe,Tak,,Acura,RDX,,,2014,71 000 km,3 471 cm3,Benzyna+LPG,277 KM,Automatyczna,,Na przednie koła,,,,,,Kombi,5,5.0,Biały,,Perłowy,,,,,,,,,,,,,Używane,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,79900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/acura-rdx-acura-rdx-ID6EUWr3.html,eb92866591822f4ccf05386279ff953917c568af,1687195718
Firmy,Osobowe,Tak,Tak,Acura,MDX,,,2016,98 000 km,3 494 cm3,Benzyna,294 KM,Automatyczna,,4x4 (dołączany automatycznie),,,,,,SUV,5,5.0,Biały,,Perłowy,,Kanada,,Tak,,,Tak,,Tak,,Tak,Tak,Używane,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,1.0,,118900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/acura-mdx-rezerwacja-kamery-360-blis-acc-3xklima-ID6FzgPT.html,e080d8a095825c68670eeaf34c8817724ade0841,1687195719
Osoby prywatnej,Osobowe,Tak,Tak,Acura,TL,3.2,,2006,211 500 km,3 210 cm3,Benzyna,258 KM,Automatyczna,,Na przednie koła,,,,,,Sedan,4,5.0,Szary,,Metalik,,,,,,,,,Tak,,Tak,Tak,Używane,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,47995,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/acura-tl-drugi-wlasciciel-bezywpadkowy-pakiet-sorona-indywidualna-tapicerka-ID6FcOTi.html,8d67c5c6db02634f0206bff423d6125afbb45911,1687195719
Osoby prywatnej,Osobowe,Tak,,Acura,TL,,,2008,240 000 km,3 206 cm3,Benzyna+LPG,226 KM,Automatyczna,,,,,,,,Sedan,4,5.0,Niebieski,,Matowy,,,,,,,,,,,,,Używane,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,23300,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/acura-tl-sprzedam-acure-tl-2008r-3-2-automat-gaz-ID6Fz71c.html,07b794aa5b07cb1fc3cd9dc12bb64d591dc48391,1687195718
Osoby prywatnej,Osobowe,Tak,Tak,Acura,MDX,3.7 V6 Base,,2014,171 000 km,3 664 cm3,Benzyna,300 KM,Automatyczna,,4x4 (dołączany automatycznie),,,,,,SUV,5,7.0,Bordowy,,Metalik,,Stany Zjednoczone,,,,,,,,,,,Używane,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,1.0,115000,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/acura-mdx-advancetech-ID6Fz6LX.html,51031a1018b5c1a6a00659c8330afb4e4b671ecb,1687195718
Firmy,Osobowe,Tak,,Acura,NSX,,,2020,27 822 km,3 499 cm3,Hybryda,581 KM,Automatyczna,,4x4 (dołączany automatycznie),,,,,,Coupe,2,2.0,Żółty,,,,,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389000,,PLN,https://www.otomoto.pl/osobowe/oferta/acura-nsx-2020-acura-nsx-hybryda-4x4-automat-ID6FAfQI.html,f31678d9074dea1f76c8580c0071606707ec2c24,1687195720
Osoby prywatnej,Osobowe,Tak,Tak,Acura,TSX,2.4,,2005,231 360 km,2 354 cm3,Benzyna+LPG,200 KM,Automatyczna,,Na przednie koła,,,,,,Sedan,4,5.0,Biały,,Perłowy,,Stany Zjednoczone,,,,,,,Tak,,Tak,,Używane,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,19900,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/acura-tsx-acura-tsx-2-4-l-benzyna-gaz-2005-rok-ID6FAdUF.html,45cf2697d18ddb28e8d655938c07deb07ec0b477,1687195720
Osoby prywatnej,Osobowe,Tak,,Acura,MDX,3.7 V6 Base,,2007,171 000 km,3 664 cm3,Benzyna+LPG,300 KM,Automatyczna,,4x4 (stały),,,,,,SUV,5,7.0,Srebrny,,Metalik,,Stany Zjednoczone,,,,,Tak,,Tak,,,,Używane,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,41500,Do negocjacji,PLN,https://www.otomoto.pl/osobowe/oferta/acura-mdx-wersja-technology-7-osob-gaz-lpg-4x4-sw-awd-ID6EAv6f.html,6b95786a28860e588956641787dd09b71eb3e671,1687195720
